;image_id;face_sunglasses;user_posted_photos;post_graduate;face_mustache;user_followed_by;face_beard;born;eyeglasses;college;female;income;emotion_score;PERMA;high_school;insta_user_id;user_follows
52;1087069857717396941_481709584;False;178.0;False;False;328.0;True;1997;False;False;True;15000;0.18074;9;True;481709584;432.0
53;1088626558040224485_52590715;False;464.0;False;False;105.0;False;1985;False;True;True;5000;0.14528;7;False;52590715;187.0
54;1088708298250083325_183823541;False;1344.0;False;False;148.0;False;1977;False;True;True;55000;0.15594;6;False;183823541;180.0
55;1089347508448694547_246095675;False;544.0;False;False;412.0;False;1992;True;True;True;45000;0.15618;6;False;246095675;461.0
56;1089664907254461397_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.22874;9;False;2062266819;339.0
57;1089983330517999220_2010977006;False;32.0;False;True;98.0;False;1996;False;False;True;35000;0.2024;5;True;2010977006;151.0
58;1093804330181961053_481709584;False;178.0;False;False;328.0;False;1997;False;False;True;15000;0.14404;9;True;481709584;432.0
59;1093872532442242237_46329534;False;503.0;False;False;322.0;False;1991;False;False;True;25000;0.19916;4;True;46329534;559.0
60;1093873696185441499_46329534;False;503.0;False;True;322.0;False;1991;False;False;True;25000;0.20386;4;True;46329534;559.0
61;1096718959309659367_235671446;False;2997.0;False;True;1318.0;True;1987;False;True;False;55000;0.15886;6;False;235671446;936.0
62;1099577588877305838_288335200;False;678.0;False;False;1077.0;False;1991;False;True;True;35000;0.14864;7;False;288335200;481.0
63;1099584576902785545_289794729;False;820.0;False;False;598.0;False;1990;False;True;True;25000;0.19914;6;False;289794729;398.0
64;1100309594055685609_545497348;False;505.0;False;True;1345.0;True;1979;True;True;True;35000;0.18498;6;False;545497348;498.0
65;1102461444897332186_1097967773;False;282.0;False;True;53.0;False;1991;False;True;False;45000;0.1876;6;False;1097967773;154.0
66;1105351456574331829_31736205;False;1052.0;False;False;732.0;False;1989;False;False;True;35000;0.17672;4;True;31736205;201.0
67;1108184188607035210_244047076;True;221.0;False;True;274.0;True;1985;True;True;False;45000;0.11382;7;False;244047076;289.0
68;1108293303862516068_1097967773;False;282.0;False;False;53.0;False;1991;False;True;False;45000;0.16698;6;False;1097967773;154.0
69;1109009892144745687_48972978;False;210.0;False;False;819.0;False;1992;False;False;True;55000;0.18194;5;True;48972978;210.0
70;1110303324800766665_195148027;False;113.0;True;True;394.0;True;1988;True;False;False;75000;0.17654;9;False;195148027;834.0
71;1111050444838040296_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.13708;9;False;2062266819;339.0
72;1113985407089130132_2270275269;False;185.0;False;False;545.0;False;1997;False;False;True;125000;0.15366;6;True;2270275269;2131.0
73;1118538638176367847_2143580844;False;43.0;False;True;13.0;False;1997;True;False;False;25000;0.11222;7;True;2143580844;13.0
74;1119173063072314018_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.21696;9;False;2062266819;339.0
75;1120494481947879905_289794729;False;820.0;False;False;598.0;False;1990;True;True;True;25000;0.14878;6;False;289794729;398.0
76;1121090614986402304_289794729;False;820.0;False;False;598.0;False;1990;False;True;True;25000;0.16708;6;False;289794729;398.0
77;1121328610942605665_183823541;False;1344.0;False;False;148.0;False;1977;False;True;True;55000;0.13696;6;False;183823541;180.0
78;1124837247639593200_265063047;False;384.0;False;False;389.0;False;1993;False;False;True;85000;0.16318;4;True;265063047;32.0
79;1127146542969994247_22180590;False;1365.0;False;False;890.0;False;1994;False;True;True;45000;0.12906;4;False;22180590;115.0
80;1127768319886599704_481709584;False;178.0;False;True;328.0;False;1997;False;False;True;15000;0.13826;9;True;481709584;432.0
81;1127788636915801241_235671446;False;2997.0;False;True;1318.0;True;1987;True;True;False;55000;0.11842;6;False;235671446;936.0
82;1128231272246135851_619868570;False;469.0;False;True;612.0;True;1975;False;True;False;35000;0.1322;5;False;619868570;1987.0
83;1128536576630466996_262136545;False;905.0;False;False;192.0;False;1984;False;True;True;45000;0.183;5;False;262136545;367.0
84;1128804028690231837_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.19356;9;False;2062266819;339.0
85;1129043654932872637_31447990;False;377.0;False;False;191.0;False;1991;False;True;True;95000;0.17352;8;False;31447990;223.0
86;1129342730736487828_619868570;False;469.0;False;False;612.0;True;1975;False;True;False;35000;0.17244;5;False;619868570;1987.0
87;1130947064566884204_481709584;False;178.0;False;False;328.0;False;1997;True;False;True;15000;0.1712;9;True;481709584;432.0
88;1131535298372167817_289794729;False;820.0;False;False;598.0;True;1990;True;True;True;25000;0.14944;6;False;289794729;398.0
89;1131891320618085076_289794729;False;820.0;False;False;598.0;False;1990;False;True;True;25000;0.16224;6;False;289794729;398.0
90;1133416157881552650_619868570;False;469.0;False;False;612.0;False;1975;False;True;False;35000;0.1498;5;False;619868570;1987.0
91;1133540080528825625_235671446;False;2997.0;False;True;1318.0;False;1987;False;True;False;55000;0.14342;6;False;235671446;936.0
92;1137206672302109614_25469443;False;947.0;False;True;349.0;True;1994;False;True;True;35000;0.12484;6;False;25469443;1086.0
